Time,1ALTE,1BLTE,1CLTE,2ALTE,3ALTE,3BLTE,3CLTE,4ALTE,4BLTE,4CLTE,5ALTE,5BLTE,5CLTE
2015-11-25 05:30:00.0,10.957506,55.219447,16.676064,0,78.417179,3.954291,0.26202,27.554683,0.526019,0.70434,0.203006,1.065419,23.727031
2015-11-25 05:45:00.0,1.255715,44.624061,8.051903,9.7e-05,20.914836,0.433079,0.117331,0.153528,8.135442,2.17104,0.363978,2.764488,26.304924
2015-11-25 06:00:00.0,0.988042,10.973687,6.477468,0,0.591585,8.677548,0.722519,19.353111,9.908338,9.22371,1.827317,0.464633,4.603402
2015-11-25 06:15:00.0,0.862394,96.577127,4.731786,0,56.977768,17.040656,1.9148,4.322086,22.219415,24.47358,16.053729,0.663441,1.416668
2015-11-25 06:30:00.0,6.712079,16.239576,5.873301,0.000476,29.190106,12.212487,1.272837,0.350704,11.945254,20.511315,0.234858,2.550228,2.289178
2015-11-25 06:45:00.0,21.612775,40.147637,35.451673,0,14.695978,5.531478,6.803415,0.498987,10.023872,12.326345,4.49617,152.08794,4.3923
2015-11-25 07:00:00.0,3.630937,12.053879,13.955357,0.000301,30.254633,4.337548,10.92689,6.897437,26.697924,52.679368,0.925168,12.944999,1.818851
2015-11-25 07:15:00.0,8.234739,3.259904,77.095325,0,61.345044,4.527032,13.589101,9.385401,38.901183,28.048355,5.192377,4.0866,6.955794
2015-11-25 07:30:00.0,21.220901,25.15789,18.651804,0,100.661907,75.004011,4.460999,24.367537,28.591691,7.602564,7.668363,20.462494,42.829469
2015-11-25 07:45:00.0,15.194061,40.457522,25.420295,0.001832,121.964149,17.336376,9.775795,9.597437,28.671938,55.419574,4.224876,99.104015,36.117131
2015-11-25 08:00:00.0,36.054403,43.186988,64.34665,0.017506,163.031201,37.071069,22.940936,9.839002,91.914626,65.255564,12.585178,68.875605,156.33226
2015-11-25 08:15:00.0,38.409023,51.202591,169.639757,0.118772,56.416072,83.68238,38.009629,24.272217,39.536679,22.893758,26.430779,49.19135,23.588715
2015-11-25 08:30:00.0,57.334247,52.777038,84.050328,0.169549,78.896503,29.325793,22.937062,13.191651,68.701032,14.963353,50.993479,21.866517,205.773035
2015-11-25 08:45:00.0,108.696516,50.887256,153.886583,0.308632,81.355318,32.163722,6.031056,18.487785,121.925527,91.982933,37.022765,99.530724,165.239807
2015-11-25 09:00:00.0,149.420564,42.345216,47.656494,0.001695,95.957918,41.106714,30.627207,28.742298,159.813775,23.365468,78.404819,212.24402,70.696145
2015-11-25 09:15:00.0,270.199961,75.211486,101.794928,0.157609,90.067646,103.612378,24.329082,24.757242,125.033849,40.213111,28.993848,200.541934,72.457695
2015-11-25 09:30:00.0,187.861248,28.99527,44.285943,0.004721,126.739701,80.491337,41.631743,13.22565,304.766787,32.964604,28.302543,97.536785,60.413525
2015-11-25 09:45:00.0,154.762139,30.537423,59.763707,0.132084,177.207149,106.841738,47.092733,6.088211,241.6657,34.073802,20.42374,134.145297,29.375105
2015-11-25 10:00:00.0,181.294522,155.034083,54.285852,0.17381,147.279641,83.223705,93.035975,20.892531,135.089796,45.682972,35.122016,167.928338,89.104831
2015-11-25 10:15:00.0,104.51291,82.905419,43.213793,0.786494,154.636675,34.272681,120.665765,14.045847,65.209746,119.378113,52.448119,174.190103,122.949082
2015-11-25 10:30:00.0,73.335825,62.011065,67.100156,0.461536,220.24386,61.723593,44.727604,17.155061,93.168256,50.185216,69.437318,111.242691,143.193989
2015-11-25 10:45:00.0,58.736051,72.592774,115.025809,1.422662,80.682573,59.375299,29.520334,21.184825,119.666116,33.664091,53.52942,93.008332,194.841199
2015-11-25 11:00:00.0,44.008934,66.999838,118.171524,0.312258,131.854484,49.311463,59.424306,6.107566,141.5811,32.697083,93.022754,124.611798,95.415387
2015-11-25 11:15:00.0,64.855469,31.458752,125.373871,0.080641,222.884303,112.309178,27.14936,19.638181,183.278752,46.088284,77.522793,131.81922,108.044955
2015-11-25 11:30:00.0,134.484449,52.180657,105.638733,0.206552,159.272227,62.305684,41.140428,21.774321,97.133096,32.571059,56.580485,157.150301,129.367964
2015-11-25 11:45:00.0,66.022904,67.468839,252.732119,0.080627,190.568904,90.754001,54.709764,8.561174,101.249937,37.726863,50.629395,140.435532,61.749958
2015-11-25 12:00:00.0,90.750537,81.578348,190.791972,0.299866,87.635419,38.283449,23.963459,6.83639,118.551289,44.190094,110.864424,185.405844,92.26059
2015-11-25 12:15:00.0,111.96502,61.068255,314.033702,0.284554,65.651705,128.910792,58.041867,47.559136,101.425753,41.527239,60.879869,127.064209,83.033945
2015-11-25 12:30:00.0,127.830576,119.638349,63.648855,0.133509,131.360903,43.197684,52.438678,15.762903,148.794161,171.778884,48.096686,289.759689,43.210314
2015-11-25 12:45:00.0,92.327539,45.215211,134.816949,0.054369,375.557726,78.87257,28.790843,17.918809,108.072935,46.622312,59.166283,190.381148,160.529069
2015-11-25 13:00:00.0,165.185069,71.49284,100.424168,0.074584,160.417311,121.257789,45.5529,13.533509,114.749535,41.654311,62.664182,250.538835,222.521959
2015-11-25 13:15:00.0,129.766433,91.870898,220.902753,0.061493,128.53365,47.879523,20.701421,14.404885,57.258221,38.314337,61.932407,361.469811,136.603321
2015-11-25 13:30:00.0,165.414913,200.927556,95.891498,0.095186,92.806763,57.552128,65.690138,37.462239,72.564257,65.493862,48.060809,196.367421,207.883813
2015-11-25 13:45:00.0,148.83662,168.725091,77.02146,0.075523,93.738797,20.473978,19.544799,44.933822,111.457845,161.465868,29.62618,98.611666,83.053756
2015-11-25 14:00:00.0,167.413678,40.066798,103.149268,0.053611,75.787216,85.34441,37.578698,13.676893,109.565542,98.654381,94.906301,222.251224,120.858313
2015-11-25 14:15:00.0,129.915597,50.442426,106.344473,0.10414,123.291021,86.81481,82.422949,15.892883,149.090672,121.074285,46.386791,130.224959,146.021634
2015-11-25 14:30:00.0,166.329232,74.414195,97.447416,1.079072,95.143144,111.020519,15.729571,29.956769,73.236314,66.053374,47.733995,98.158857,75.731366
2015-11-25 14:45:00.0,72.793376,242.711555,53.077017,0.069134,177.736739,122.654642,31.689229,6.617542,65.821018,93.497157,26.880372,181.121155,151.912029
